original_ds,df,RiscoOriginal,RiscoTransformado,UtilOriginal,UtilTransformado,model
ds32,ds32_transf1_qi4.csv,0.965094621,0.049445201,0.699280848,0.696551899,Logistic Regression
ds32,ds32_transf1_qi4.csv,0.965094621,0.049445201,0.793354656,0.780467464,Logistic Regression
ds32,ds32_transf1_qi4.csv,0.965094621,0.049445201,0.793354656,0.780467464,Logistic Regression
ds32,ds32_transf1_qi4.csv,0.965094621,0.049445201,0.794201723,0.780188995,Logistic Regression
ds32,ds32_transf1_qi4.csv,0.965094621,0.049445201,0.794201723,0.780188995,Logistic Regression
ds14,ds14_transf0_qi0.csv,0.9955,0.050946082,0.991550293,0.977038556,Logistic Regression
ds14,ds14_transf0_qi0.csv,0.9955,0.050946082,0.991550293,0.977038556,Logistic Regression
ds14,ds14_transf0_qi0.csv,0.9955,0.050946082,0.990301636,0.967010572,Logistic Regression
ds14,ds14_transf0_qi0.csv,0.9955,0.050946082,0.990301636,0.967010572,Logistic Regression
ds14,ds14_transf0_qi0.csv,0.9955,0.050946082,0.989075272,0.966949075,Logistic Regression
ds14,ds14_transf0_qi0.csv,0.9955,0.050946082,0.989075272,0.966949075,Logistic Regression
ds16,ds16_transf2_qi2.csv,0.9955,0.050554616,0.999370211,0.996553528,Logistic Regression
ds16,ds16_transf2_qi2.csv,0.9955,0.050554616,0.999370211,0.996553528,Logistic Regression
ds16,ds16_transf2_qi2.csv,0.9955,0.050554616,0.999370211,0.995623009,Logistic Regression
ds16,ds16_transf2_qi2.csv,0.9955,0.050554616,0.999370211,0.995623009,Logistic Regression
ds16,ds16_transf2_qi2.csv,0.9955,0.050554616,0.999370211,0.995617392,Logistic Regression
ds16,ds16_transf2_qi2.csv,0.9955,0.050554616,0.999370211,0.995617392,Logistic Regression
ds16,ds16_transf1_qi0.csv,0.9955,0.05046536,0.999370211,0.999685441,Logistic Regression
ds16,ds16_transf1_qi0.csv,0.9955,0.05046536,0.999370211,0.999685441,Logistic Regression
ds16,ds16_transf1_qi0.csv,0.9955,0.05046536,0.999370211,0.99875,Logistic Regression
ds16,ds16_transf1_qi0.csv,0.9955,0.05046536,0.999370211,0.99875,Logistic Regression
ds16,ds16_transf1_qi0.csv,0.9955,0.05046536,0.999370211,0.998754978,Logistic Regression
ds16,ds16_transf1_qi0.csv,0.9955,0.05046536,0.999370211,0.998754978,Logistic Regression
ds16,ds16_transf0_qi2.csv,0.9955,0.050292062,0.999370211,0.997176774,Logistic Regression
ds16,ds16_transf0_qi2.csv,0.9955,0.050292062,0.999370211,0.997176774,Logistic Regression
ds16,ds16_transf0_qi2.csv,0.9955,0.050292062,0.999370211,0.997499529,Logistic Regression
ds16,ds16_transf0_qi2.csv,0.9955,0.050292062,0.999370211,0.997499529,Logistic Regression
ds16,ds16_transf0_qi2.csv,0.9955,0.050292062,0.999370211,0.996875783,Logistic Regression
ds16,ds16_transf0_qi2.csv,0.9955,0.050292062,0.999370211,0.996875783,Logistic Regression
ds4,ds4_transf0_qi3.csv,0.99175,0.049688087,0.988091856,0.960275908,Logistic Regression
ds4,ds4_transf0_qi3.csv,0.99175,0.049688087,0.988091856,0.960275908,Logistic Regression
ds4,ds4_transf0_qi3.csv,0.99175,0.049688087,0.985645238,0.965313274,Logistic Regression
ds4,ds4_transf0_qi3.csv,0.99175,0.049688087,0.985645238,0.965313274,Logistic Regression
ds4,ds4_transf0_qi3.csv,0.99175,0.049688087,0.986547116,0.968153831,Logistic Regression
ds4,ds4_transf0_qi3.csv,0.99175,0.049688087,0.986547116,0.968153831,Logistic Regression
ds16,ds16_transf2_qi1.csv,0.9955,0.048976126,0.999370211,0.99905978,Logistic Regression
ds16,ds16_transf2_qi1.csv,0.9955,0.048976126,0.999370211,0.99905978,Logistic Regression
ds16,ds16_transf2_qi1.csv,0.9955,0.048976126,0.999370211,0.999060603,Logistic Regression
ds16,ds16_transf2_qi1.csv,0.9955,0.048976126,0.999370211,0.999060603,Logistic Regression
ds16,ds16_transf2_qi1.csv,0.9955,0.048976126,0.999370211,0.998436333,Logistic Regression
ds16,ds16_transf2_qi1.csv,0.9955,0.048976126,0.999370211,0.998436333,Logistic Regression
ds4,ds4_transf2_qi4.csv,0.979375,0.047421173,0.988091856,0.989730512,Logistic Regression
ds4,ds4_transf2_qi4.csv,0.979375,0.047421173,0.988091856,0.989730512,Logistic Regression
ds4,ds4_transf2_qi4.csv,0.979375,0.047421173,0.985645238,0.988486192,Logistic Regression
ds4,ds4_transf2_qi4.csv,0.979375,0.047421173,0.985645238,0.988486192,Logistic Regression
ds4,ds4_transf2_qi4.csv,0.979375,0.047421173,0.986547116,0.985068108,Logistic Regression
ds4,ds4_transf2_qi4.csv,0.979375,0.047421173,0.986547116,0.985068108,Logistic Regression
ds16,ds16_transf2_qi0.csv,0.9955,0.048119509,0.999370211,0.999057058,Logistic Regression
ds16,ds16_transf2_qi0.csv,0.9955,0.048119509,0.999370211,0.999057058,Logistic Regression
ds16,ds16_transf2_qi0.csv,0.9955,0.048119509,0.999370211,0.997809431,Logistic Regression
ds16,ds16_transf2_qi0.csv,0.9955,0.048119509,0.999370211,0.997809431,Logistic Regression
ds16,ds16_transf2_qi0.csv,0.9955,0.048119509,0.999370211,0.99779864,Logistic Regression
ds16,ds16_transf2_qi0.csv,0.9955,0.048119509,0.999370211,0.99779864,Logistic Regression
ds16,ds16_transf1_qi2.csv,0.9955,0.04792519,0.999370211,0.995618821,Logistic Regression
ds16,ds16_transf1_qi2.csv,0.9955,0.04792519,0.999370211,0.995618821,Logistic Regression
ds16,ds16_transf1_qi2.csv,0.9955,0.04792519,0.999370211,0.995289241,Logistic Regression
ds16,ds16_transf1_qi2.csv,0.9955,0.04792519,0.999370211,0.995289241,Logistic Regression
ds16,ds16_transf1_qi2.csv,0.9955,0.04792519,0.999370211,0.994687415,Logistic Regression
ds16,ds16_transf1_qi2.csv,0.9955,0.04792519,0.999370211,0.994687415,Logistic Regression
ds16,ds16_transf0_q3.csv,0.9955,0.047248072,0.999370211,0.999056574,Logistic Regression
ds16,ds16_transf0_q3.csv,0.9955,0.047248072,0.999370211,0.999056574,Logistic Regression
ds16,ds16_transf0_q3.csv,0.9955,0.047248072,0.999370211,0.99905639,Logistic Regression
ds16,ds16_transf0_q3.csv,0.9955,0.047248072,0.999370211,0.99905639,Logistic Regression
